age,annual_income,credit_score,loan_amount,employment_years,debt_to_income,default
23,67115,687,46016,14.5,0.482,0
62,103841,622,60321,0.0,0.435,1
55,20000,686,65572,17.5,0.23,0
43,25101,620,65047,10.7,0.132,1
43,42313,598,42783,15.1,0.355,1
67,113835,698,75514,10.7,0.05,0
22,78478,691,50026,8.3,0.433,1
58,93020,723,58912,6.1,0.274,0
29,35795,844,51206,10.6,0.52,0
23,36414,701,50434,5.8,0.093,1
48,83434,716,28813,14.1,0.41,1
74,71748,599,60430,0.0,0.288,1
60,86462,583,107596,4.2,0.26,1
62,64370,799,36755,22.3,0.136,1
59,78344,611,46562,3.6,0.371,1
63,74744,602,35183,6.3,0.381,1
47,93333,677,34264,1.8,0.514,0
25,94210,673,78978,10.4,0.421,0
66,21404,612,30195,2.8,0.229,1
44,20000,657,34570,6.7,0.18,1
47,100052,772,10075,13.9,0.136,0
39,105632,620,28333,3.1,0.477,1
28,39381,575,7415,13.5,0.207,1
71,20000,751,58900,13.8,0.478,0
63,72971,717,106593,15.4,0.363,1
55,97925,633,36933,9.0,0.34,1
41,123928,561,8331,30.7,0.263,1
65,85489,624,64800,15.4,0.379,1
49,58848,676,29008,10.3,0.298,0
43,43206,767,73586,1.9,0.256,0
44,70344,602,38795,7.3,0.384,1
31,61022,674,31100,18.0,0.283,1
23,39548,731,41085,20.0,0.204,0
50,131463,501,61671,18.3,0.372,1
69,123555,758,39997,13.5,0.292,0
21,104081,591,34072,0.0,0.359,0
67,42374,705,40626,11.4,0.246,0
66,95651,699,17019,0.0,0.155,0
34,89189,761,53735,0.0,0.508,1
54,83276,721,5692,9.7,0.486,0
27,107490,502,35229,11.7,0.406,1
61,89061,621,61706,14.3,0.253,1
58,92200,690,51667,11.5,0.264,0
38,89107,665,57987,11.7,0.466,1
21,80224,716,43569,1.1,0.258,1
74,20000,739,70734,7.3,0.224,1
43,72509,726,65343,0.0,0.525,1
69,53314,664,54815,0.0,0.294,1
57,31605,542,65406,13.2,0.512,1
63,120454,646,61509,2.7,0.132,1
62,121870,711,35332,14.1,0.362,0
29,110777,598,15434,15.8,0.549,1
39,77656,727,54248,3.7,0.304,1
45,110519,748,57014,12.1,0.268,1
46,70362,690,68990,3.4,0.16,1
20,76084,450,24401,0.0,0.43,1
49,37196,584,25059,8.9,0.208,1
26,81910,821,55118,4.7,0.289,0
61,71812,639,43434,4.9,0.152,1
57,30920,531,5000,21.8,0.487,1
71,68464,773,53252,0.0,0.439,1
61,67608,681,5000,10.7,0.296,0
39,123927,763,24204,1.0,0.162,0
74,96826,701,74737,14.4,0.484,0
41,70343,714,85147,10.1,0.256,0
36,77464,707,18256,10.7,0.167,0
70,71326,732,37753,1.4,0.089,1
39,63913,850,45938,2.6,0.222,1
22,37527,753,84187,14.5,0.125,0
45,65468,561,34157,20.4,0.225,1
64,47617,713,34509,11.4,0.389,0
28,32491,766,79072,1.7,0.255,1
44,85337,770,36755,10.4,0.343,1
25,81738,648,60888,25.0,0.213,1
57,20000,767,12503,8.7,0.308,0
45,66319,750,41233,18.2,0.531,1
37,99871,850,8489,2.8,0.258,1
31,101777,624,21780,7.7,0.346,1
50,100775,642,63462,12.3,0.112,1
56,71167,657,43902,10.8,0.482,1
72,44649,643,37980,2.6,0.243,1
43,37489,613,28528,2.3,0.426,1
27,80338,473,40146,14.9,0.285,1
66,81378,647,51624,16.3,0.373,1
54,108620,708,66624,18.6,0.381,1
58,102999,643,5000,20.6,0.246,1
23,66033,825,26701,8.9,0.431,0
36,32674,681,48500,5.8,0.209,0
62,60427,777,42825,17.5,0.393,1
66,76517,700,53874,13.0,0.253,1
43,63938,742,50886,1.1,0.342,1
64,52663,701,38293,0.8,0.245,1
66,77587,783,33409,11.4,0.306,1
40,54881,684,39599,6.8,0.171,1
70,51158,717,70272,7.8,0.33,1
34,79344,707,28896,15.5,0.305,0
31,57940,658,43618,13.3,0.235,1
57,77323,710,49034,17.3,0.293,1
54,78196,848,79328,0.0,0.316,0
26,35817,660,38393,9.8,0.226,1
66,55563,711,66094,12.9,0.285,1
29,113133,774,72104,0.0,0.179,1
64,35138,766,43597,3.4,0.581,1
18,20000,681,40364,2.1,0.427,1
64,20000,501,37761,8.2,0.333,1
63,70873,719,39372,19.4,0.441,0
63,70928,514,63793,22.2,0.062,1
56,66472,790,50082,2.3,0.05,1
45,106426,693,50176,11.7,0.252,1
58,20000,755,20245,11.9,0.135,1
34,81878,612,23715,10.7,0.272,1
63,116843,564,92156,10.8,0.325,1
50,36167,700,41088,10.1,0.41,0
44,58606,677,27955,19.8,0.163,0
47,47413,643,76484,15.7,0.348,1
50,43170,686,51200,0.6,0.302,1
20,60212,850,57719,13.6,0.342,1
26,112825,743,41963,14.2,0.238,0
32,125122,759,37989,10.2,0.466,0
24,59922,743,41269,15.9,0.288,1
43,127152,791,14580,9.3,0.513,0
56,71067,666,43066,9.4,0.205,1
55,122611,526,51513,8.8,0.389,0
45,67201,666,85710,0.0,0.293,1
67,73932,741,46892,7.4,0.261,1
50,80964,607,5000,3.3,0.376,1
22,165366,667,42932,0.0,0.264,1
62,95539,628,105269,18.0,0.05,1
51,48782,793,64060,11.5,0.05,1
54,99070,736,27160,7.8,0.453,0
50,59145,729,58004,4.0,0.448,1
50,55307,727,28676,10.1,0.526,0
23,97258,677,15216,14.9,0.298,0
50,70933,695,37336,2.2,0.145,0
64,78357,591,47014,8.0,0.25,1
35,70420,516,5000,14.1,0.301,1
52,80097,691,19718,0.0,0.179,0
19,82749,704,45227,7.6,0.498,1
38,20000,771,36020,5.0,0.569,0
43,89997,798,53686,7.1,0.357,0
74,40539,798,18277,4.5,0.299,0
30,26731,605,60711,9.0,0.145,1
34,68248,654,18957,21.5,0.486,1
41,72519,716,81140,5.7,0.309,1
75,49195,850,7253,10.0,0.265,0
67,94931,791,20964,22.0,0.358,1
20,29735,764,54182,4.1,0.23,1
31,57792,651,81613,20.7,0.318,1
65,52454,614,51931,8.0,0.127,1
21,68602,739,57383,20.5,0.43,0
67,78366,597,45386,13.3,0.287,0
34,39763,662,22419,10.1,0.439,0
71,91728,671,34217,7.5,0.276,1
35,71890,799,18338,3.6,0.284,1
43,20000,653,16868,8.5,0.155,1
56,20000,497,53838,14.3,0.391,1
25,69630,718,20290,7.9,0.195,1
50,63371,628,52030,5.8,0.242,1
47,66897,683,16360,6.2,0.3,1
63,69161,673,51520,14.9,0.315,1
75,76767,659,34249,16.6,0.095,1
56,98429,739,75946,3.3,0.272,1
41,36667,565,52122,3.3,0.395,1
41,34841,641,72187,10.7,0.255,1
42,37200,731,28376,18.7,0.273,1
65,78668,634,46235,16.0,0.319,1
36,107348,559,23416,0.0,0.285,1
27,57060,730,35901,6.2,0.176,1
37,20000,764,39234,1.5,0.296,0
19,20000,677,29031,6.1,0.419,1
24,45009,533,18259,19.2,0.174,1
23,53268,733,13903,0.0,0.255,0
62,57748,556,5000,0.0,0.134,1
59,71157,703,21760,2.2,0.413,1
58,60648,613,58805,10.0,0.289,1
44,101480,593,9833,12.3,0.198,1
59,49719,647,14901,11.1,0.311,1
27,44130,666,84400,16.2,0.156,1
70,84366,632,30997,0.0,0.176,1
47,23931,724,52063,16.3,0.125,1
72,81691,647,59131,5.8,0.172,1
26,73077,754,59576,13.1,0.463,1
46,65577,701,11509,0.0,0.212,0
58,117648,628,39917,8.0,0.356,1
46,51334,615,9399,9.7,0.2,1
43,131809,556,98819,16.1,0.391,1
27,63237,702,9913,0.0,0.177,0
40,31690,653,21948,8.2,0.305,1
31,72098,502,22107,0.4,0.306,1
35,37713,640,12073,11.5,0.579,1
57,47447,612,74757,13.4,0.376,1
54,81911,798,98294,17.0,0.229,1
53,86667,552,34534,4.3,0.382,1
38,51335,572,15951,14.5,0.557,1
73,99622,763,5000,17.5,0.104,0
23,104725,782,39630,0.0,0.199,0
37,113089,624,38040,12.3,0.272,1
24,85882,633,30671,14.7,0.25,1
37,110903,726,49870,6.2,0.26,0
73,20000,505,53694,0.0,0.143,1
39,60463,540,52108,14.6,0.468,1
70,43990,659,38045,0.0,0.129,1
46,73577,796,20764,6.8,0.276,1
58,52857,647,59648,7.7,0.425,1
44,65015,688,45275,13.0,0.296,1
33,126465,765,64544,3.6,0.182,0
62,64908,838,62382,3.2,0.138,1
74,82414,637,13721,8.7,0.272,1
33,63032,679,13447,15.0,0.209,0
63,72271,817,28378,24.0,0.325,0
33,70181,566,21762,0.0,0.132,1
59,83450,757,61616,10.2,0.398,1
63,104959,604,52729,0.4,0.314,1
44,119422,688,69182,15.1,0.323,1
60,79289,662,53723,1.4,0.473,1
33,87686,608,49590,3.3,0.247,1
22,35474,606,71394,3.9,0.213,1
23,67364,701,55334,7.5,0.234,1
43,98209,755,46498,10.3,0.277,0
70,95979,670,77570,11.4,0.289,1
25,76348,685,47534,8.0,0.2,0
44,96592,723,38305,0.0,0.057,1
58,84723,607,26568,13.1,0.233,1
29,106009,735,60467,7.6,0.343,1
59,78681,741,72215,16.1,0.316,1
35,59329,850,43887,3.0,0.444,0
64,80075,652,73774,0.0,0.535,1
51,20000,646,5000,7.8,0.391,1
49,81487,738,43780,17.1,0.466,0
28,20000,741,44118,9.1,0.392,1
44,20000,640,29006,6.6,0.505,0
67,83553,650,97445,1.9,0.522,0
19,84326,721,43544,20.3,0.414,1
61,35127,618,36030,0.8,0.385,1
46,48637,649,45571,2.9,0.275,1
59,111116,687,5000,12.0,0.295,1
56,55479,755,28283,0.0,0.259,1
43,137288,635,66631,16.9,0.375,1
35,69942,542,31163,12.4,0.214,1
54,82241,536,26765,14.3,0.277,1
26,118506,586,73810,11.9,0.05,1
51,73931,582,74486,6.9,0.507,0
23,39930,668,56374,0.6,0.274,0
55,66708,591,34987,7.0,0.355,1
54,68932,627,39732,1.2,0.475,1
22,29058,622,27309,11.4,0.336,1
